数据集标识,风场名称,数据粒度,数据数量,所属数据集,Onshore/Offshore,位置（纬度，经度）,基座海拔,气候类型,气候特点,风机型号,参数性质,机组总数,风场额定功率_MW,额定功率计算式_MW,容量计算精度,参考机型数,叶轮直径_m,叶轮直径_规格数,叶轮直径_各规格机组数,叶片长_m,叶片长_规格数,叶片长_各规格机组数,轮毂高_m,轮毂高_规格数,轮毂高_各规格机组数
NREL_WTK_site27707_Offshore-Pacific-CA_offshore_16MW_2007-2013,Offshore-Pacific-CA_offshore,15 min,146280,NREL WTK,Offshore,"33.67308, -120.210693",N/A (site elevation unavailable); hub height 100 m agl,Warm-summer Mediterranean climate,"Cool, dry summers (20-26 degC) and mild, wet winters (5-12 degC). Precipitation 400-800 mm/year concentrated in winter half-year. Persistent maritime westerlies produce moderate but highly consistent wind speeds with very low seasonal variability. Low turbulence intensity; stable marine boundary layer creates strong wind shear at the capping inversion. Excellent year-round wind resource.",Siemens SWT-3.6-107; GE 4.1-113; REpower 6M,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,3,107; 113; 126,3,参考机型，未分配机组数,52; ≈55; 61.5,3,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site29477_NorthCarolina-Carteret_class2_16MW_2007-2013,NorthCarolina-Carteret_class2,15 min,196963,NREL WTK,Onshore,"34.93597, -76.418793",N/A (site elevation unavailable); hub height 100 m agl,Humid subtropical climate,"Hot, humid summers (25-32 degC) and mild winters (5-12 degC). Precipitation 1000-1500 mm/year evenly distributed. Mid-latitude westerlies dominate; wind speeds peak in winter (extratropical cyclones), drop markedly in summer (subtropical high). Moderate diurnal wind variation. Occasional tropical cyclone landfalls produce short-duration extreme winds. Wind resource strongly seasonal: highest Nov-Apr, lowest Jun-Sep.",Vestas V112-3.0; Siemens SWT-2.3-93; GE 1.6-82.5; GE 2.5XL,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,4,82.5; 93; 100; 112,4,参考机型，未分配机组数,≈40; 45; 48.7; ≈54.6,4,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site29715_Tennessee-Campbell_class3_8MW_2007-2013,Tennessee-Campbell_class3,15 min,119540,NREL WTK,Onshore,"36.236694, -84.250793",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, warm summer","Warm summers (18-24 degC), severely cold winters (-15 to -5 degC). Precipitation 600-1000 mm/year with significant snowfall. Winter polar air masses and Alberta Clippers produce frequent high-wind events. Orographic lifting over elevated terrain enhances local wind speeds above free-stream values. Wind resource peaks Nov-Mar; summer wind speeds are substantially lower. Moderate icing risk at turbine hub height in winter.",Vestas V100-1.8; GE 1.6-100; REpower 3.2M114,虚拟机组及拟合参考机型,4,8.0,4×2,按表中机组数,3,100; 114,2,参考机型，未分配机组数,48.7; ≈49; ≈55.5,3,参考机型，未分配机组数,100,1,100 m: 4台
NREL_WTK_site3044_Offshore-Gulf-LA_offshore_16MW_2007-2013,Offshore-Gulf-LA_offshore,15 min,165223,NREL WTK,Offshore,"28.610092, -90.936462",N/A (site elevation unavailable); hub height 100 m agl,Humid subtropical climate,"Hot, humid summers (25-32 degC) and mild winters (5-12 degC). Precipitation 1000-1500 mm/year evenly distributed. Mid-latitude westerlies dominate; wind speeds peak in winter (extratropical cyclones), drop markedly in summer (subtropical high). Moderate diurnal wind variation. Occasional tropical cyclone landfalls produce short-duration extreme winds. Wind resource strongly seasonal: highest Nov-Apr, lowest Jun-Sep.",Siemens SWT-3.6-107; GE 4.1-113; REpower 6M,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,3,107; 113; 126,3,参考机型，未分配机组数,52; ≈55; 61.5,3,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site31505_NewMexico-Union_class2_12MW_2007-2013,NewMexico-Union_class2,15 min,144682,NREL WTK,Onshore,"36.876339, -103.436707",N/A (site elevation unavailable); hub height 100 m agl,Cold semi-arid climate,"Semi-arid continental: hot summers (28-35 degC), cold winters (-5 to 5 degC). Precipitation 250-500 mm/year. Large diurnal temperature range (15-20 degC). Broad, open, low-roughness terrain combined with frequent mid-latitude cyclone passages yields consistently high year-round wind speeds — among the richest onshore wind resource regions globally. Wind speeds peak Mar-May; occasional summer thunderstorm downbursts; low icing risk.",Vestas V112-3.0; Siemens SWT-2.3-93; GE 1.6-82.5; GE 2.5XL,虚拟机组及拟合参考机型,6,12.0,6×2,按表中机组数,4,82.5; 93; 100; 112,4,参考机型，未分配机组数,≈40; 45; 48.7; ≈54.6,4,参考机型，未分配机组数,100,1,100 m: 6台
NREL_WTK_site33345_California-SanBernardino_class2_16MW_2007-2013,California-SanBernardino_class2,15 min,223759,NREL WTK,Onshore,"35.198231, -116.936157",N/A (site elevation unavailable); hub height 100 m agl,Cold desert climate,"Scorching summers (32-38 degC), cool-to-cold winters (0-8 degC), precipitation below 250 mm/year. Large diurnal temperature swing drives reliable valley-mountain wind circulations. Afternoon winds enhanced by thermal convection. Wind resource moderate and strongly diurnal.",Vestas V112-3.0; Siemens SWT-2.3-93; GE 1.6-82.5; GE 2.5XL,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,4,82.5; 93; 100; 112,4,参考机型，未分配机组数,≈40; 45; 48.7; ≈54.6,4,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site34260_Offshore-NC-OuterBanks_offshore_16MW_2007-2013,Offshore-NC-OuterBanks_offshore,15 min,175176,NREL WTK,Offshore,"35.329334, -75.230255",N/A (site elevation unavailable); hub height 100 m agl,Humid subtropical climate,"Hot, humid summers (25-32 degC) and mild winters (5-12 degC). Precipitation 1000-1500 mm/year evenly distributed. Mid-latitude westerlies dominate; wind speeds peak in winter (extratropical cyclones), drop markedly in summer (subtropical high). Moderate diurnal wind variation. Occasional tropical cyclone landfalls produce short-duration extreme winds. Wind resource strongly seasonal: highest Nov-Apr, lowest Jun-Sep.",Siemens SWT-3.6-107; GE 4.1-113; REpower 6M,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,3,107; 113; 126,3,参考机型，未分配机组数,52; ≈55; 61.5,3,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site34947_Kansas-Kiowa_class1_2MW_2007-2013,Kansas-Kiowa_class1,15 min,160386,NREL WTK,Onshore,"37.535965, -99.456055",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, hot summer","Four distinct seasons: warm summers (22-28 degC), cold winters (-8 to 0 degC). Precipitation 700-1100 mm/year. Winter polar air masses and extratropical cyclones drive high wind speeds with frequent storm events. Summer convective activity produces thunderstorm downbursts. Wind resource richest Oct-Apr, lowest Jun-Aug. Considerable interannual variability tied to polar jet stream position.",Siemens SWT-3.0-101; Gamesa G80-2.0; Nordex N90 HS; Vestas V90-3.0,虚拟机组及拟合参考机型,1,2.0,1×2,按表中机组数,4,80; 90; 101,3,参考机型，未分配机组数,≈39; ≈43.8; 44; 49,4,参考机型，未分配机组数,100,1,100 m: 1台
NREL_WTK_site38019_Virginia-Patrick_class1_4MW_2007-2013,Virginia-Patrick_class1,15 min,245472,NREL WTK,Onshore,"36.795895, -80.342529",N/A (site elevation unavailable); hub height 100 m agl,Humid subtropical climate,"Hot, humid summers (25-32 degC) and mild winters (5-12 degC). Precipitation 1000-1500 mm/year evenly distributed. Mid-latitude westerlies dominate; wind speeds peak in winter (extratropical cyclones), drop markedly in summer (subtropical high). Moderate diurnal wind variation. Occasional tropical cyclone landfalls produce short-duration extreme winds. Wind resource strongly seasonal: highest Nov-Apr, lowest Jun-Sep.",Siemens SWT-3.0-101; Gamesa G80-2.0; Nordex N90 HS; Vestas V90-3.0,虚拟机组及拟合参考机型,2,4.0,2×2,按表中机组数,4,80; 90; 101,3,参考机型，未分配机组数,≈39; ≈43.8; 44; 49,4,参考机型，未分配机组数,100,1,100 m: 2台
NREL_WTK_site38405_Kansas-Hodgeman_class2_6MW_2007-2013,Kansas-Hodgeman_class2,15 min,245472,NREL WTK,Onshore,"38.028996, -99.623932",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, hot summer","Four distinct seasons: warm summers (22-28 degC), cold winters (-8 to 0 degC). Precipitation 700-1100 mm/year. Winter polar air masses and extratropical cyclones drive high wind speeds with frequent storm events. Summer convective activity produces thunderstorm downbursts. Wind resource richest Oct-Apr, lowest Jun-Aug. Considerable interannual variability tied to polar jet stream position.",Vestas V112-3.0; Siemens SWT-2.3-93; GE 1.6-82.5; GE 2.5XL,虚拟机组及拟合参考机型,3,6.0,3×2,按表中机组数,4,82.5; 93; 100; 112,4,参考机型，未分配机组数,≈40; 45; 48.7; ≈54.6,4,参考机型，未分配机组数,100,1,100 m: 3台
NREL_WTK_site39062_Kentucky-Madison_class3_16MW_2007-2013,Kentucky-Madison_class3,15 min,112315,NREL WTK,Onshore,"37.526291, -84.292267",N/A (site elevation unavailable); hub height 100 m agl,Humid subtropical climate,"Hot, humid summers (25-32 degC) and mild winters (5-12 degC). Precipitation 1000-1500 mm/year evenly distributed. Mid-latitude westerlies dominate; wind speeds peak in winter (extratropical cyclones), drop markedly in summer (subtropical high). Moderate diurnal wind variation. Occasional tropical cyclone landfalls produce short-duration extreme winds. Wind resource strongly seasonal: highest Nov-Apr, lowest Jun-Sep.",Vestas V100-1.8; GE 1.6-100; REpower 3.2M114,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,3,100; 114,2,参考机型，未分配机组数,48.7; ≈49; ≈55.5,3,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site39241_Kansas-Chase_class2_16MW_2007-2013,Kansas-Chase_class2,15 min,154126,NREL WTK,Onshore,"38.239616, -96.599915",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, hot summer","Four distinct seasons: warm summers (22-28 degC), cold winters (-8 to 0 degC). Precipitation 700-1100 mm/year. Winter polar air masses and extratropical cyclones drive high wind speeds with frequent storm events. Summer convective activity produces thunderstorm downbursts. Wind resource richest Oct-Apr, lowest Jun-Aug. Considerable interannual variability tied to polar jet stream position.",Vestas V112-3.0; Siemens SWT-2.3-93; GE 1.6-82.5; GE 2.5XL,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,4,82.5; 93; 100; 112,4,参考机型，未分配机组数,≈40; 45; 48.7; ≈54.6,4,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site39992_Virginia-Roanoke_class2_14MW_2007-2013,Virginia-Roanoke_class2,15 min,114703,NREL WTK,Onshore,"37.168118, -80.084839",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, hot summer","Four distinct seasons: warm summers (22-28 degC), cold winters (-8 to 0 degC). Precipitation 700-1100 mm/year. Winter polar air masses and extratropical cyclones drive high wind speeds with frequent storm events. Summer convective activity produces thunderstorm downbursts. Wind resource richest Oct-Apr, lowest Jun-Aug. Considerable interannual variability tied to polar jet stream position.",Vestas V112-3.0; Siemens SWT-2.3-93; GE 1.6-82.5; GE 2.5XL,虚拟机组及拟合参考机型,7,14.0,7×2,按表中机组数,4,82.5; 93; 100; 112,4,参考机型，未分配机组数,≈40; 45; 48.7; ≈54.6,4,参考机型，未分配机组数,100,1,100 m: 7台
NREL_WTK_site41012_Offshore-Virginia_offshore_16MW_2007-2013,Offshore-Virginia_offshore,15 min,149748,NREL WTK,Offshore,"36.572124, -75.624817",N/A (site elevation unavailable); hub height 100 m agl,Humid subtropical climate,"Hot, humid summers (25-32 degC) and mild winters (5-12 degC). Precipitation 1000-1500 mm/year evenly distributed. Mid-latitude westerlies dominate; wind speeds peak in winter (extratropical cyclones), drop markedly in summer (subtropical high). Moderate diurnal wind variation. Occasional tropical cyclone landfalls produce short-duration extreme winds. Wind resource strongly seasonal: highest Nov-Apr, lowest Jun-Sep.",Siemens SWT-3.6-107; GE 4.1-113; REpower 6M,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,3,107; 113; 126,3,参考机型，未分配机组数,52; ≈55; 61.5,3,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site43337_Kansas-Gove_class2_16MW_2007-2013,Kansas-Gove_class2,15 min,226430,NREL WTK,Onshore,"39.045227, -100.160461",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, hot summer","Four distinct seasons: warm summers (22-28 degC), cold winters (-8 to 0 degC). Precipitation 700-1100 mm/year. Winter polar air masses and extratropical cyclones drive high wind speeds with frequent storm events. Summer convective activity produces thunderstorm downbursts. Wind resource richest Oct-Apr, lowest Jun-Aug. Considerable interannual variability tied to polar jet stream position.",Vestas V112-3.0; Siemens SWT-2.3-93; GE 1.6-82.5; GE 2.5XL,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,4,82.5; 93; 100; 112,4,参考机型，未分配机组数,≈40; 45; 48.7; ≈54.6,4,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site44258_Colorado-ElPaso_class2_16MW_2007-2013,Colorado-ElPaso_class2,15 min,168406,NREL WTK,Onshore,"38.990578, -104.16925",N/A (site elevation unavailable); hub height 100 m agl,Cold semi-arid climate,"Semi-arid continental: hot summers (28-35 degC), cold winters (-5 to 5 degC). Precipitation 250-500 mm/year. Large diurnal temperature range (15-20 degC). Broad, open, low-roughness terrain combined with frequent mid-latitude cyclone passages yields consistently high year-round wind speeds — among the richest onshore wind resource regions globally. Wind speeds peak Mar-May; occasional summer thunderstorm downbursts; low icing risk.",Vestas V112-3.0; Siemens SWT-2.3-93; GE 1.6-82.5; GE 2.5XL,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,4,82.5; 93; 100; 112,4,参考机型，未分配机组数,≈40; 45; 48.7; ≈54.6,4,参考机型，未分配机组数,100,1,100 m: 8台
